gender,forehead_chin,left_ear_right_ear,height,weight,age
1,102.39628899525607,74.81310045707235,5.10,74,37
1,53.03772242470448,24.515301344262525,6.3,82,37
0,45.39823785126467,32.55764119219941,5.7,64,45
0,94.13288479590966,60.207972893961475,5.3,62,46
0,154.20765220960988,91.0494371207203,5.4,52,51
0,43.41658669218482,32.7566787083184,4.12,57,43
0,149.03019828209315,92.91393867445294,5.7,54,48
0,36.0,23.345235059857504,5.9,62,45
0,79.05694150420949,58.215118311311535,5.3,132,43
1,42.190046219457976,32.01562118716424,6,79,45
1,38.0,23.021728866442675,6.3,84,39
1,35.12833614050059,29.068883707497267,6.1,0,49
1,26.92582403567252,24.331050121192877,5.12,0,36
0,75.32595834106593,64.03124237432849,5.11,56,39
0,34.0,27.0,0,0,44
1,37.21558813185679,29.154759474226502,5.10,73,46
0,48.010415536631214,46.0,5.8,56,49
1,31.400636936215164,21.095023109728988,5.10,0,49
1,76.00657866263946,69.00724599634447,6,78,55
1,38.05259518088089,22.360679774997898,5.9,68,55
1,60.0,69.02897942168927,6,79,39
0,144.4195277654653,137.23337786413333,5.2,49,41
0,106.7941945987702,75.23961722390672,5.8,61,42
1,123.01625908797584,87.0,6.3,93,35
1,116.55899793666725,81.49846624323675,5.11,83,42
1,157.68639763784319,147.8681845428556,5.10,80,46
1,29.0,15.033296378372908,5.10,74,41
1,60.166435825965294,51.35172830587107,5.10,75,36
0,67.02984409947557,38.63935817272331,5.4,57,41
0,88.20430828479978,60.13318551349163,5.9,55,44
0,45.5411901469428,26.30589287593181,5.5,58,53
0,69.35416353759881,67.06713054842886,5.7,57,30
0,25.019992006393608,15.033296378372908,5.9,0,30
0,54.00925846556311,54.00925846556311,5.9,56,54
0,36.05551275463989,21.213203435596427,0,0,57
1,59.22837157984339,68.18357573492314,6.3,98,39
0,69.1158447825099,61.1310068623117,5.8,50,36
1,105.22357150372724,68.59300255857006,6.1,81,65
1,70.57619995437555,53.46026561849464,6,86,57
0,80.60397012554654,48.83646178829912,5.7,57,36
